NCTId;LeadSponsorName;LeadSponsorClass;CollaboratorName;CollaboratorClass;Condition;StudyType;OverallOfficialName;OverallOfficialAffiliation;OverallOfficialRole;ResponsiblePartyType;ResponsiblePartyInvestigatorFullName;ResponsiblePartyInvestigatorAffiliation;ResponsiblePartyInvestigatorTitle
NCT00001503;National Cancer Institute (NCI);NIH;;;['Melanoma', 'Ovarian Cancer', 'Prostate Cancer', 'Breast Cancer', 'Lymphoma'];Observational;James L Gulley, M.D.;National Cancer Institute (NCI);Principal Investigator;Sponsor;;;
NCT00001806;National Cancer Institute (NCI);NIH;;;['Breast Cancer', 'Ovarian Cancer'];Interventional;Kathleen Calzone, R.N.;National Cancer Institute (NCI);Principal Investigator;Sponsor;;;
NCT00002455;Centro Oncologico de Excelencia;OTHER;;;['Breast Cancer', 'Colorectal Cancer', 'Melanoma (Skin)'];Interventional;Hugo Omar De Carli, MD;Centro Oncologico de Excelencia;Study Chair;;;;
NCT00002460;Cancer Research UK;OTHER;;;['Breast Cancer'];Interventional;Michael Baum, MD, ChM, FRCS;University College London Hospitals;Study Chair;;;;
NCT00002465;St. Vincent Medical Center - Los Angeles;OTHER;;;['Breast Cancer', 'Endometrial Cancer', 'Malignant Mesothelioma'];Interventional;Charles L. Wiseman, MD, FACP;;Study Chair;;;;
NCT00002475;St. Vincent Medical Center - Los Angeles;OTHER;;;['Breast Cancer', 'Colorectal Cancer', 'Kidney Cancer', 'Lung Cancer', 'Malignant Mesothelioma', 'Pancreatic Cancer'];Interventional;Charles L. Wiseman, MD, FACP;;Study Chair;;;;
NCT00002498;Leiden University Medical Center;OTHER;;;['Breast Cancer'];Interventional;Marianne A. Nooij, MD;Leiden University Medical Center;Study Chair;;;;
NCT00002509;Temple University;OTHER;['Fox Chase Cancer Center'];['OTHER'];['Breast Cancer'];Interventional;Thomas R. Klumpp, MD;Fox Chase Cancer Center;Study Chair;;;;
NCT00002520;Eastern Cooperative Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Bladder Cancer', 'Breast Cancer', 'Colorectal Cancer', 'Head and Neck Cancer', 'Lung Cancer', 'Lymphoma', 'Prostate Cancer', 'Testicular Germ Cell Tumor', 'Tobacco Use Disorder', 'Unspecified Adult Solid Tumor, Protocol Specific'];Interventional;Paul F. Engstrom, MD;Fox Chase Cancer Center;Study Chair;Sponsor;;;
NCT00002528;ETOP IBCSG Partners Foundation;NETWORK;;;['Breast Cancer'];Interventional;Diana Crivellari, MD;Centro di Riferimento Oncologico - Aviano;Study Chair;Sponsor;;;
NCT00002529;ETOP IBCSG Partners Foundation;NETWORK;;;['Breast Cancer'];Interventional;Edda Simoncini, MD;Spedali Civili di Brescia;Study Chair;Sponsor;;;
NCT00002542;NCIC Clinical Trials Group;NETWORK;;;['Breast Cancer'];Interventional;Vivien HC Bramwell, MB, BS, PhD, FRCP;London Health Sciences Centre;Study Chair;Sponsor;;;
NCT00002544;Arbeitsgemeinschaft fur Internistische Onkologie;OTHER;;;['Breast Cancer'];Interventional;Else G. Heidemann, MD;Diakonie-Klinikum Stuttgart;Study Chair;;;;
NCT00002564;Institute for Cancer Prevention (IFCP);OTHER;;;['Breast Cancer'];Interventional;Daniel W. Nixon, MD;Medical University of South Carolina;Study Chair;;;;
NCT00002579;Scottish Cancer Therapy Network;OTHER;;;['Breast Cancer'];Interventional;W.D. George, MD, MS, FRCS;University of Glasgow;Study Chair;;;;
NCT00002580;Scottish Cancer Therapy Network;OTHER;;;['Breast Cancer'];Interventional;W.D. George, MD, MS, FRCS;University of Glasgow;Study Chair;;;;
NCT00002581;Scottish Cancer Therapy Network;OTHER;;;['Breast Cancer'];Interventional;W.D. George, MD, MS, FRCS;University of Glasgow;Study Chair;;;;
NCT00002582;Institute of Cancer Research, United Kingdom;OTHER;['Yorkshire Regional Clinical Trials Research Unit'];['OTHER'];['Breast Cancer'];Interventional;John R. Yarnold, MD, FRCR;Royal Marsden NHS Foundation Trust;Study Chair;;;;
NCT00002582;Institute of Cancer Research, United Kingdom;OTHER;['Yorkshire Regional Clinical Trials Research Unit'];['OTHER'];['Breast Cancer'];Interventional;Helena Earl, MBBS, PhD, FRCP;Cancer Research Campaign Clinical Trials Centre;Study Chair;;;;
NCT00002582;Institute of Cancer Research, United Kingdom;OTHER;['Yorkshire Regional Clinical Trials Research Unit'];['OTHER'];['Breast Cancer'];Interventional;Stanley B. Kaye, MD, FRCP;University of Glasgow;Study Chair;;;;
NCT00002582;Institute of Cancer Research, United Kingdom;OTHER;['Yorkshire Regional Clinical Trials Research Unit'];['OTHER'];['Breast Cancer'];Interventional;Tim J. Perren, MD;Leeds Cancer Centre at St. James's University Hospital;Study Chair;;;;
NCT00002585;Barbara Ann Karmanos Cancer Institute;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Patricia M. LoRusso, DO;Barbara Ann Karmanos Cancer Institute;Study Chair;;;;
NCT00002616;University of Illinois at Chicago;OTHER;;;['Breast Cancer'];Interventional;Jeffrey A. Sosman, MD;Vanderbilt-Ingram Cancer Center;Study Chair;;;;
NCT00002627;St. Louis University;OTHER;;;['Breast Cancer'];Interventional;Paul J. Petruska, MD;St. Louis University;Study Chair;;;;
NCT00002628;St. Louis University;OTHER;;;['Breast Cancer'];Interventional;Paul J. Petruska, MD;St. Louis University;Study Chair;;;;
NCT00002644;Queen Mary University of London;OTHER;;;['Breast Cancer'];Interventional;Jack Cuzick, PhD;Queen Mary University of London;Study Chair;Sponsor;;;
NCT00002646;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;Melody A. Cobleigh, MD;Rush University Medical Center;Study Chair;;;;
NCT00002646;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;George Thomas Budd, MD;The Cleveland Clinic;Study Chair;;;;
NCT00002646;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;Mark L. Graham, MD;UNC Lineberger Comprehensive Cancer Center;Study Chair;;;;
NCT00002646;Eastern Cooperative Oncology Group;NETWORK;['North Central Cancer Treatment Group'];['NETWORK'];['Breast Cancer'];Interventional;James N. Ingle, MD;Mayo Clinic;Study Chair;;;;
NCT00002662;Aventis Pharmaceuticals;INDUSTRY;;;['Breast Cancer'];Interventional;Peter M. Ravdin, MD;The University of Texas Health Science Center at San Antonio;Study Chair;;;;
NCT00002668;Eastern Cooperative Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer', 'Pain', 'Prostate Cancer'];Interventional;Charles Cleeland, PhD;M.D. Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00002679;Yale University;OTHER;;;['Breast Cancer'];Interventional;Maysa Abu-Khalaf, MD;Yale University;Study Chair;;;;
NCT00002680;Yale University;OTHER;;;['Breast Cancer'];Interventional;Michael DiGiovanna, MD;Yale University;Study Chair;Sponsor;;;
NCT00002696;Grupo Oncologico Cooperativo del Sur;OTHER;;;['Breast Cancer'];Interventional;Bernardo A. Leone, MD;Unidad Oncologica Del Neuquen;Study Chair;;;;
NCT00002707;NSABP Foundation Inc;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Harry D. Bear, MD, PhD;Massey Cancer Center;Study Chair;;;;
NCT00002720;European Institute of Oncology;OTHER;;;['Breast Cancer'];Interventional;Gabriele Martelli, MD;Fondazione IRCCS Istituto Nazionale dei Tumori, Milano;Study Chair;;;;
NCT00002755;Scottish Cancer Therapy Network;OTHER;;;['Breast Cancer'];Interventional;Robert C.F. Leonard, MD, BS, MB;Edinburgh Cancer Centre at Western General Hospital;Study Chair;;;;
NCT00002762;Alliance for Clinical Trials in Oncology;OTHER;['NSABP Foundation Inc'];['NETWORK'];['Breast Cancer', 'Perioperative/Postoperative Complications'];Observational;Clive S. Grant, MD;Mayo Clinic;Study Chair;Sponsor;;;
NCT00002772;Southwest Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer'];Interventional;Scott I. Bearman, MD;University of Colorado, Denver;Study Chair;Sponsor;;;
NCT00002772;Southwest Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer'];Interventional;Antonio C. Wolff, MD;Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins;Study Chair;Sponsor;;;
NCT00002772;Southwest Oncology Group;NETWORK;['Cancer and Leukemia Group B'];['NETWORK'];['Breast Cancer'];Interventional;Clifford A. Hudis, MD;Memorial Sloan Kettering Cancer Center;Study Chair;Sponsor;;;
NCT00002777;European Organisation for Research and Treatment of Cancer - EORTC;NETWORK;;;['Breast Cancer'];Interventional;Robert Paridaens, MD, PhD;University Hospital, Gasthuisberg;Study Chair;Sponsor;;;
NCT00002780;St. Luke's Medical Center;OTHER;;;['Breast Cancer'];Interventional;John P. Hanson, MD;St. Luke's Medical Center;Study Chair;;;;
NCT00002784;ETOP IBCSG Partners Foundation;NETWORK;;;['Breast Cancer'];Interventional;Russell Basser, MD;Melbourne Health;Study Chair;Sponsor;;;
NCT00002826;Eastern Cooperative Oncology Group;NETWORK;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;Robert W. Carlson, MD;Stanford University;Study Chair;;;;
NCT00002836;M.D. Anderson Cancer Center;OTHER;['National Cancer Institute (NCI)'];['NIH'];['Breast Cancer'];Interventional;James Gajewski, MD;M.D. Anderson Cancer Center;Study Chair;Sponsor;;;
NCT00002837;M.D. Anderson Cancer Center;OTHER;['Bristol-Myers Squibb'];['INDUSTRY'];['Breast Cancer'];Interventional;Michele L. Donato, MD;M.D. Anderson Cancer Center;Study Chair;Sponsor;;;
